2026-06-09 15:32:12 | INFO | Export status: success
2026-06-09 15:32:12 | INFO | Output file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-3\test_cli_smoke_generates_workb0\cli-output.xlsx
2026-06-09 15:32:12 | INFO | Processing time seconds: 0.617
2026-06-09 15:36:12 | INFO | Starting attendance star schema generation
2026-06-09 15:36:12 | INFO | Input file: C:\Users\Prathamesh\Documents\powerbi dashobard\program\uploads\From 01.01.2025 to 20.05.2026 Details of all Emp.xlsx
2026-06-09 15:45:18 | ERROR | Generation failed: Foreign key validation failed:
- Date_Key: 153359 orphan record(s)
2026-06-09 15:46:08 | INFO | Starting attendance star schema generation
2026-06-09 15:46:08 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-4\test_export_workbook_contains_0\input.xlsx
2026-06-09 15:46:08 | INFO | Reading Excel workbook
2026-06-09 15:46:08 | INFO | Sheet read: Raw Data
2026-06-09 15:46:08 | INFO | Rows read: 2
2026-06-09 15:46:08 | INFO | Validating required columns
2026-06-09 15:46:08 | INFO | Cleaning raw attendance rows
2026-06-09 15:46:08 | INFO | Blank rows removed: 0
2026-06-09 15:46:08 | INFO | Duplicates removed: 0
2026-06-09 15:46:08 | INFO | Rows after cleaning: 2
2026-06-09 15:46:08 | INFO | Invalid dates converted to null: 0
2026-06-09 15:46:08 | INFO | Invalid times converted to null: 0
2026-06-09 15:46:08 | INFO | Building DIM_Employee
2026-06-09 15:46:08 | INFO | DIM_Employee count: 2
2026-06-09 15:46:08 | INFO | Building DIM_Date
2026-06-09 15:46:08 | INFO | DIM_Date count: 2
2026-06-09 15:46:08 | INFO | Building DIM_Cost_Centre
2026-06-09 15:46:08 | INFO | DIM_Cost_Centre count: 2
2026-06-09 15:46:08 | INFO | Building DIM_Shift
2026-06-09 15:46:08 | INFO | DIM_Shift count: 2
2026-06-09 15:46:08 | INFO | Building DIM_Attendance_Type
2026-06-09 15:46:08 | INFO | DIM_Attendance_Type count: 2
2026-06-09 15:46:08 | INFO | Building DIM_Remarks
2026-06-09 15:46:08 | INFO | DIM_Remarks count: 2
2026-06-09 15:46:08 | INFO | Building FACT_Attendance
2026-06-09 15:46:08 | INFO | FACT_Attendance count: 2
2026-06-09 15:46:08 | INFO | Validating foreign keys
2026-06-09 15:46:08 | INFO | Foreign key validation passed
2026-06-09 15:46:08 | INFO | Exporting star schema workbook
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Employee with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Employee
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Date with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Date
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Cost_Centre with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Cost_Centre
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Shift with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Shift
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Attendance_Type with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Attendance_Type
2026-06-09 15:46:08 | INFO | Exporting sheet DIM_Remarks with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet DIM_Remarks
2026-06-09 15:46:08 | INFO | Exporting sheet FACT_Attendance with 2 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet FACT_Attendance
2026-06-09 15:46:08 | INFO | Exporting sheet Schema_Guide with 18 row(s)
2026-06-09 15:46:08 | INFO | Finished sheet Schema_Guide
2026-06-09 15:46:09 | INFO | Export status: success
2026-06-09 15:46:09 | INFO | Output file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-4\test_export_workbook_contains_0\star.xlsx
2026-06-09 15:46:09 | INFO | Processing time seconds: 0.849
2026-06-09 15:46:09 | INFO | Starting attendance star schema generation
2026-06-09 15:46:09 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-4\test_cli_smoke_generates_workb0\input.xlsx
2026-06-09 15:46:09 | INFO | Reading Excel workbook
2026-06-09 15:46:09 | INFO | Sheet read: Raw Data
2026-06-09 15:46:09 | INFO | Rows read: 2
2026-06-09 15:46:09 | INFO | Validating required columns
2026-06-09 15:46:09 | INFO | Cleaning raw attendance rows
2026-06-09 15:46:09 | INFO | Blank rows removed: 0
2026-06-09 15:46:09 | INFO | Duplicates removed: 0
2026-06-09 15:46:09 | INFO | Rows after cleaning: 2
2026-06-09 15:46:09 | INFO | Invalid dates converted to null: 0
2026-06-09 15:46:09 | INFO | Invalid times converted to null: 0
2026-06-09 15:46:09 | INFO | Building DIM_Employee
2026-06-09 15:46:09 | INFO | DIM_Employee count: 2
2026-06-09 15:46:09 | INFO | Building DIM_Date
2026-06-09 15:46:09 | INFO | DIM_Date count: 2
2026-06-09 15:46:09 | INFO | Building DIM_Cost_Centre
2026-06-09 15:46:09 | INFO | DIM_Cost_Centre count: 2
2026-06-09 15:46:09 | INFO | Building DIM_Shift
2026-06-09 15:46:09 | INFO | DIM_Shift count: 2
2026-06-09 15:46:09 | INFO | Building DIM_Attendance_Type
2026-06-09 15:46:09 | INFO | DIM_Attendance_Type count: 2
2026-06-09 15:46:09 | INFO | Building DIM_Remarks
2026-06-09 15:46:09 | INFO | DIM_Remarks count: 2
2026-06-09 15:46:09 | INFO | Building FACT_Attendance
2026-06-09 15:46:09 | INFO | FACT_Attendance count: 2
2026-06-09 15:46:09 | INFO | Validating foreign keys
2026-06-09 15:46:09 | INFO | Foreign key validation passed
2026-06-09 15:46:09 | INFO | Exporting star schema workbook
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Employee with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Employee
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Date with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Date
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Cost_Centre with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Cost_Centre
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Shift with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Shift
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Attendance_Type with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Attendance_Type
2026-06-09 15:46:09 | INFO | Exporting sheet DIM_Remarks with 2 row(s)
2026-06-09 15:46:09 | INFO | Finished sheet DIM_Remarks
2026-06-09 15:46:09 | INFO | Exporting sheet FACT_Attendance with 2 row(s)
2026-06-09 15:46:10 | INFO | Finished sheet FACT_Attendance
2026-06-09 15:46:10 | INFO | Exporting sheet Schema_Guide with 18 row(s)
2026-06-09 15:46:10 | INFO | Finished sheet Schema_Guide
2026-06-09 15:46:10 | INFO | Export status: success
2026-06-09 15:46:10 | INFO | Output file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-4\test_cli_smoke_generates_workb0\cli-output.xlsx
2026-06-09 15:46:10 | INFO | Processing time seconds: 0.740
2026-06-09 15:47:08 | INFO | Starting attendance star schema generation
2026-06-09 15:47:08 | INFO | Input file: uploads\From 01.01.2025 to 20.05.2026 Details of all Emp.xlsx
2026-06-09 15:47:08 | INFO | Reading Excel workbook
2026-06-09 15:48:44 | INFO | Sheet read: Raw Data
2026-06-09 15:48:44 | INFO | Rows read: 251162
2026-06-09 15:48:44 | INFO | Validating required columns
2026-06-09 15:48:44 | INFO | Cleaning raw attendance rows
2026-06-09 15:49:33 | INFO | Blank rows removed: 0
2026-06-09 15:49:33 | INFO | Duplicates removed: 0
2026-06-09 15:49:33 | INFO | Rows after cleaning: 251162
2026-06-09 15:49:33 | INFO | Invalid dates converted to null: 0
2026-06-09 15:49:33 | INFO | Invalid times converted to null: 0
2026-06-09 15:49:33 | INFO | Building DIM_Employee
2026-06-09 15:49:34 | INFO | DIM_Employee count: 3144
2026-06-09 15:49:34 | INFO | Building DIM_Date
2026-06-09 15:49:34 | INFO | DIM_Date count: 381
2026-06-09 15:49:34 | INFO | Building DIM_Cost_Centre
2026-06-09 15:49:34 | INFO | DIM_Cost_Centre count: 105
2026-06-09 15:49:34 | INFO | Building DIM_Shift
2026-06-09 15:49:34 | INFO | DIM_Shift count: 19
2026-06-09 15:49:34 | INFO | Building DIM_Attendance_Type
2026-06-09 15:49:34 | INFO | DIM_Attendance_Type count: 38
2026-06-09 15:49:34 | INFO | Building DIM_Remarks
2026-06-09 15:49:34 | INFO | DIM_Remarks count: 3
2026-06-09 15:49:34 | INFO | Building FACT_Attendance
2026-06-09 15:49:37 | INFO | FACT_Attendance count: 251162
2026-06-09 15:49:37 | INFO | Validating foreign keys
2026-06-09 15:49:37 | INFO | Foreign key validation passed
2026-06-09 15:49:38 | INFO | Exporting star schema workbook
2026-06-09 15:49:38 | INFO | Exporting sheet DIM_Employee with 3144 row(s)
2026-06-09 15:49:38 | INFO | Finished sheet DIM_Employee
2026-06-09 15:49:38 | INFO | Exporting sheet DIM_Date with 381 row(s)
2026-06-09 15:49:39 | INFO | Finished sheet DIM_Date
2026-06-09 15:49:39 | INFO | Exporting sheet DIM_Cost_Centre with 105 row(s)
2026-06-09 15:49:39 | INFO | Finished sheet DIM_Cost_Centre
2026-06-09 15:49:39 | INFO | Exporting sheet DIM_Shift with 19 row(s)
2026-06-09 15:49:39 | INFO | Finished sheet DIM_Shift
2026-06-09 15:49:39 | INFO | Exporting sheet DIM_Attendance_Type with 38 row(s)
2026-06-09 15:49:39 | INFO | Finished sheet DIM_Attendance_Type
2026-06-09 15:49:39 | INFO | Exporting sheet DIM_Remarks with 3 row(s)
2026-06-09 15:49:39 | INFO | Finished sheet DIM_Remarks
2026-06-09 15:49:39 | INFO | Exporting sheet FACT_Attendance with 251162 row(s)
2026-06-09 15:50:57 | INFO | Finished sheet FACT_Attendance
2026-06-09 15:50:57 | INFO | Exporting sheet Schema_Guide with 18 row(s)
2026-06-09 15:50:57 | INFO | Finished sheet Schema_Guide
2026-06-09 15:51:39 | INFO | Export status: success
2026-06-09 15:51:39 | INFO | Output file: outputs\Attendance_StarSchema.xlsx
2026-06-09 15:51:39 | INFO | Processing time seconds: 271.152
2026-06-09 15:53:02 | INFO | Starting attendance star schema generation
2026-06-09 15:53:02 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-5\test_export_workbook_contains_0\input.xlsx
2026-06-09 15:53:02 | INFO | Reading Excel workbook
2026-06-09 15:53:02 | INFO | Sheet read: Raw Data
2026-06-09 15:53:02 | INFO | Rows read: 2
2026-06-09 15:53:02 | INFO | Validating required columns
2026-06-09 15:53:02 | INFO | Cleaning raw attendance rows
2026-06-09 15:53:02 | INFO | Blank rows removed: 0
2026-06-09 15:53:02 | INFO | Duplicates removed: 0
2026-06-09 15:53:02 | INFO | Rows after cleaning: 2
2026-06-09 15:53:02 | INFO | Invalid dates converted to null: 0
2026-06-09 15:53:02 | INFO | Invalid times converted to null: 0
2026-06-09 15:53:02 | INFO | Building DIM_Employee
2026-06-09 15:53:02 | INFO | DIM_Employee count: 2
2026-06-09 15:53:02 | INFO | Building DIM_Date
2026-06-09 15:53:02 | INFO | DIM_Date count: 2
2026-06-09 15:53:02 | INFO | Building DIM_Cost_Centre
2026-06-09 15:53:02 | INFO | DIM_Cost_Centre count: 2
2026-06-09 15:53:02 | INFO | Building DIM_Shift
2026-06-09 15:53:02 | INFO | DIM_Shift count: 2
2026-06-09 15:53:02 | INFO | Building DIM_Attendance_Type
2026-06-09 15:53:02 | INFO | DIM_Attendance_Type count: 2
2026-06-09 15:53:02 | INFO | Building DIM_Remarks
2026-06-09 15:53:02 | INFO | DIM_Remarks count: 2
2026-06-09 15:53:02 | INFO | Building FACT_Attendance
2026-06-09 15:53:03 | INFO | FACT_Attendance count: 2
2026-06-09 15:53:03 | INFO | Validating foreign keys
2026-06-09 15:53:03 | INFO | Foreign key validation passed
2026-06-09 15:53:03 | INFO | Exporting star schema workbook
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Employee with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Employee
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Date with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Date
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Cost_Centre with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Cost_Centre
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Shift with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Shift
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Attendance_Type with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Attendance_Type
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Remarks with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Remarks
2026-06-09 15:53:03 | INFO | Exporting sheet FACT_Attendance with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet FACT_Attendance
2026-06-09 15:53:03 | INFO | Exporting sheet Schema_Guide with 18 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet Schema_Guide
2026-06-09 15:53:03 | INFO | Export status: success
2026-06-09 15:53:03 | INFO | Output file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-5\test_export_workbook_contains_0\star.xlsx
2026-06-09 15:53:03 | INFO | Processing time seconds: 0.694
2026-06-09 15:53:03 | INFO | Starting attendance star schema generation
2026-06-09 15:53:03 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-5\test_cli_smoke_generates_workb0\input.xlsx
2026-06-09 15:53:03 | INFO | Reading Excel workbook
2026-06-09 15:53:03 | INFO | Sheet read: Raw Data
2026-06-09 15:53:03 | INFO | Rows read: 2
2026-06-09 15:53:03 | INFO | Validating required columns
2026-06-09 15:53:03 | INFO | Cleaning raw attendance rows
2026-06-09 15:53:03 | INFO | Blank rows removed: 0
2026-06-09 15:53:03 | INFO | Duplicates removed: 0
2026-06-09 15:53:03 | INFO | Rows after cleaning: 2
2026-06-09 15:53:03 | INFO | Invalid dates converted to null: 0
2026-06-09 15:53:03 | INFO | Invalid times converted to null: 0
2026-06-09 15:53:03 | INFO | Building DIM_Employee
2026-06-09 15:53:03 | INFO | DIM_Employee count: 2
2026-06-09 15:53:03 | INFO | Building DIM_Date
2026-06-09 15:53:03 | INFO | DIM_Date count: 2
2026-06-09 15:53:03 | INFO | Building DIM_Cost_Centre
2026-06-09 15:53:03 | INFO | DIM_Cost_Centre count: 2
2026-06-09 15:53:03 | INFO | Building DIM_Shift
2026-06-09 15:53:03 | INFO | DIM_Shift count: 2
2026-06-09 15:53:03 | INFO | Building DIM_Attendance_Type
2026-06-09 15:53:03 | INFO | DIM_Attendance_Type count: 2
2026-06-09 15:53:03 | INFO | Building DIM_Remarks
2026-06-09 15:53:03 | INFO | DIM_Remarks count: 2
2026-06-09 15:53:03 | INFO | Building FACT_Attendance
2026-06-09 15:53:03 | INFO | FACT_Attendance count: 2
2026-06-09 15:53:03 | INFO | Validating foreign keys
2026-06-09 15:53:03 | INFO | Foreign key validation passed
2026-06-09 15:53:03 | INFO | Exporting star schema workbook
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Employee with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Employee
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Date with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Date
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Cost_Centre with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Cost_Centre
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Shift with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Shift
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Attendance_Type with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Attendance_Type
2026-06-09 15:53:03 | INFO | Exporting sheet DIM_Remarks with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet DIM_Remarks
